model,runtime,error,warn,logLik,est,se,pvalue,tau2,scenario,replicate,param_id
glmmTMB_RE,0.43000000000029104,NA,NA,-10.345583310128326,-0.08004135822931681,0.08578140081288874,0.35077596373413966,0.10641507163986982,SMD_tau2=0.09_null,5,35
rma.uni,0.020000000000436557,NA,NA,-13.037908927181597,-0.16030226694462896,0.0990493528498548,0.10557469495152819,0.15512821362970833,SMD_tau2=0.09_null,6,36
glmmTMB_RE,0.4500000000007276,NA,NA,-13.037908927181597,-0.16030226692464528,0.09905062086080381,0.1055791570964866,0.15512821107841496,SMD_tau2=0.09_null,6,36
rma.uni,0.020000000000436557,NA,NA,-2.0764389902542577,0.05546675355417423,0.055347846818012275,0.3162719473906372,0.020950424817342665,SMD_tau2=0.09_null,7,37
glmmTMB_RE,0.5200000000004366,NA,NA,-2.0764389902509457,0.055466754364952055,0.05534872230483227,0.3162795951595747,0.020950372935326873,SMD_tau2=0.09_null,7,37
rma.uni,0,NA,NA,-9.801814945434668,0.007439981721719028,0.08328225128707764,0.9288160437694972,0.09803829165093188,SMD_tau2=0.09_null,8,38
glmmTMB_RE,0.43999999999869033,NA,NA,-9.801814945434337,0.007439982057277208,0.08328313787068109,0.9288167963366182,0.0980382521624869,SMD_tau2=0.09_null,8,38
rma.uni,0.00999999999839929,NA,NA,-10.375577199707688,-0.11943799328313288,0.08613679036897601,0.16556121894631365,0.10759566691521699,SMD_tau2=0.09_null,9,39
glmmTMB_RE,0.4400000000023283,NA,NA,-10.375577199707681,-0.11943799327472239,0.0861377139652916,0.16556575506910928,0.10759566589568217,SMD_tau2=0.09_null,9,39
rma.uni,0,NA,NA,-7.9903593305185545,0.011538405581076454,0.07587769341272506,0.8791350024522246,0.07458575128130882,SMD_tau2=0.09_null,10,40
glmmTMB_RE,0.4099999999998545,NA,NA,-7.990359330518551,0.011538405556696938,0.07587791439141855,0.8791353519950769,0.07458574629109696,SMD_tau2=0.09_null,10,40
rma.uni,0.020000000000436557,NA,NA,-18.24562325743459,0.27476431421046577,0.13020689404640315,0.03483999099157483,0.29703727456860796,SMD_tau2=0.25_moderate,1,41
glmmTMB_RE,0.43000000000029104,NA,NA,-18.245623257434588,0.27476431418129404,0.13020770894080488,0.03484112806314581,0.29703726756222015,SMD_tau2=0.25_moderate,1,41
rma.uni,0,NA,NA,-12.010761156189147,0.4576777357381867,0.09382481500572423,1.0716525684676722e-6,0.13413506986385149,SMD_tau2=0.25_moderate,2,42
glmmTMB_RE,0.41999999999825377,NA,NA,-12.010761156189147,0.457677735672759,0.09383538036964038,1.0746398936105338e-6,0.1341350671950233,SMD_tau2=0.25_moderate,2,42
rma.uni,0.01999999999679858,NA,NA,-17.337523633826788,0.24117973649784774,0.12425471675074662,0.052256977814009856,0.26698445110949875,SMD_tau2=0.25_moderate,3,43
glmmTMB_RE,0.4599999999991269,NA,NA,-17.337523633826798,0.24117973649150262,0.12425565866316353,0.05225876250451483,0.2669844497898694,SMD_tau2=0.25_moderate,3,43
rma.uni,0,NA,NA,-12.960267665877362,0.11881843005752811,0.09849713143492451,0.22769659242876433,0.15301330998571191,SMD_tau2=0.25_moderate,4,44
glmmTMB_RE,1.4200000000018917,NA,NA,-12.960267665877339,0.11881842994609132,0.09849832453997351,0.22770222486832564,0.15301329541718683,SMD_tau2=0.25_moderate,4,44
rma.uni,0,NA,NA,-17.124464671725477,0.3837262936928703,0.12282973579237606,0.0017837985772799915,0.2595215274457653,SMD_tau2=0.25_moderate,5,45
glmmTMB_RE,0.41999999999825377,NA,NA,-17.124464671725477,0.3837262936651124,0.12283318828038157,0.0017843309860455714,0.2595215244801633,SMD_tau2=0.25_moderate,5,45
rma.uni,0.010000000002037268,NA,NA,-14.973575915138065,0.4938126532372393,0.10978748984128019,6.862942294986639e-6,0.19864948549392017,SMD_tau2=0.25_moderate,6,46
